epoch,classification_accuracy,classification_loss,learning_rate,loss,reconstruction_loss,val_classification_accuracy,val_classification_loss,val_loss,val_reconstruction_loss
0,0.8386001586914062,0.2547438442707062,0.0010000000474974513,0.41975513100624084,0.16500908136367798,0.8764605522155762,0.20816417038440704,0.4255734086036682,0.21740849316120148
1,0.8641988635063171,0.2211877405643463,0.0010000000474974513,0.3688155710697174,0.14762677252292633,0.8750719428062439,0.2049029916524887,0.949384868144989,0.7443010210990906
2,0.8739981651306152,0.20869460701942444,0.0010000000474974513,0.34900298714637756,0.14030896127223969,0.9192772507667542,0.15984629094600677,1.069043517112732,0.9089797735214233
3,0.8786471486091614,0.20230446755886078,0.0010000000474974513,0.33654555678367615,0.13424156606197357,0.9073305726051331,0.16651102900505066,1.0493296384811401,0.8825933337211609
4,0.8822093605995178,0.1971169263124466,0.0010000000474974513,0.3279910385608673,0.1308736354112625,0.9174060821533203,0.15423771739006042,3.07360577583313,2.918520212173462
5,0.8848984837532043,0.19314312934875488,0.0010000000474974513,0.32126593589782715,0.1281224936246872,0.9147475361824036,0.16058459877967834,1.1112357378005981,0.9504055380821228
6,0.8922663331031799,0.18336603045463562,0.0005000000237487257,0.30733242630958557,0.1239655539393425,0.9122498035430908,0.1597534865140915,0.8669940233230591,0.7070651054382324
7,0.8940276503562927,0.1804760992527008,0.0005000000237487257,0.303356796503067,0.122879758477211,0.9229264855384827,0.14778894186019897,1.0023880004882812,0.854388952255249
8,0.8953426480293274,0.17880211770534515,0.0005000000237487257,0.3004578948020935,0.12165515869855881,0.9089900851249695,0.16439718008041382,0.7282580733299255,0.5637333393096924
9,0.8968341946601868,0.1771729737520218,0.0005000000237487257,0.2983081042766571,0.12113504856824875,0.934001088142395,0.13018840551376343,1.0909618139266968,0.9605218172073364
10,0.897368311882019,0.17624223232269287,0.0005000000237487257,0.2965165674686432,0.1202731654047966,0.9269567131996155,0.13657262921333313,2.1422014236450195,2.0050625801086426
11,0.8976479768753052,0.1756962239742279,0.0005000000237487257,0.29433852434158325,0.11864116787910461,0.9330527782440186,0.13440701365470886,0.6974253058433533,0.5628947019577026
12,0.8984672427177429,0.17401178181171417,0.0005000000237487257,0.2915744483470917,0.11756234616041183,0.9063737988471985,0.1621740311384201,2.645920991897583,2.4830400943756104
13,0.9013932943344116,0.1702786535024643,0.0002500000118743628,0.2852881848812103,0.11500967293977737,0.9288448095321655,0.13615694642066956,1.3502309322357178,1.2137514352798462
14,0.9025492072105408,0.16873565316200256,0.0002500000118743628,0.2832133173942566,0.11447809636592865,0.9296321868896484,0.13383427262306213,2.3663830757141113,2.2319087982177734
0,0.25667956471443176,0.0010000000474974513,0.4234130084514618,0.6883213520050049,0.16673271358013153,0.19243870675563812,0.3528222441673279,0.7063285708427429,0.16038672626018524
